Date,Open,High,Low,Close,Volume,Adj Close
2015-10-08,144.669998,146.979996,144.059998,146.830002,748000,146.830002
2015-10-07,144.110001,144.779999,143.339996,144.699997,764500,144.699997
2015-10-06,144.809998,144.899994,142.720001,143.279999,684600,143.279999
2015-10-05,142.399994,144.25,141.970001,144.130005,521100,144.130005
2015-10-02,139.050003,141.929993,138.50,141.869995,793300,141.869995
2015-10-01,140.080002,141.389999,138.770004,140.479996,930900,140.479996
2015-09-30,138.630005,139.479996,137.050003,139.309998,901500,139.309998
2015-09-29,138.190002,138.619995,137.169998,138.210007,704000,138.210007
2015-09-28,139.690002,139.990005,137.820007,138.259995,711300,138.259995
2015-09-25,139.429993,141.559998,139.070007,140.050003,694000,140.050003
2015-09-24,138.050003,139.210007,137.649994,138.889999,510100,138.889999
2015-09-23,137.830002,138.979996,137.570007,138.50,455800,138.50
2015-09-22,137.509995,138.600006,136.919998,138.289993,644500,138.289993
2015-09-21,137.559998,139.139999,137.110001,139.070007,580900,139.070007
2015-09-18,136.50,138.559998,136.309998,137.050003,724000,137.050003
2015-09-17,137.710007,140.00,136.880005,138.179993,1019900,138.179993
2015-09-16,137.720001,138.380005,136.520004,137.149994,1151400,137.149994
2015-09-15,137.520004,138.580002,137.00,138.339996,695100,138.339996
2015-09-14,140.190002,140.190002,136.740005,137.059998,707000,137.059998
2015-09-11,138.949997,140.199997,138.220001,140.020004,689500,140.020004
2015-09-10,135.410004,139.850006,135.210007,138.509995,3311500,138.509995
2015-09-09,145.630005,146.160004,136.080002,136.25,3099900,136.25
2015-09-08,144.600006,145.699997,143.699997,145.610001,584500,145.610001
2015-09-04,140.979996,142.029999,140.259995,141.559998,434300,141.559998
2015-09-03,141.419998,143.279999,141.330002,142.100006,473200,142.100006
2015-09-02,140.589996,141.25,139.020004,141.220001,575300,141.220001
2015-09-01,139.279999,140.949997,138.570007,139.070007,904700,139.070007
2015-08-31,141.350006,141.850006,140.820007,141.139999,491200,141.139999
2015-08-28,141.699997,142.410004,140.559998,142.00,476600,142.00
2015-08-27,140.149994,141.910004,139.270004,141.839996,618100,141.839996
2015-08-26,139.050003,140.190002,136.00,139.25,787100,139.25
2015-08-25,140.100006,140.470001,135.630005,135.679993,908200,135.679993
2015-08-24,139.350006,141.850006,136.889999,138.029999,1146100,138.029999
2015-08-21,145.660004,146.509995,143.419998,143.429993,987000,143.429993
2015-08-20,147.509995,147.770004,146.619995,146.619995,796700,146.619995
2015-08-19,147.539993,148.869995,147.380005,148.259995,867100,148.259995
2015-08-18,146.800003,148.369995,146.770004,148.25,531900,148.25
2015-08-17,145.50,146.669998,144.149994,146.619995,337500,146.619995
2015-08-14,144.699997,145.589996,144.289993,145.529999,307100,145.529999
2015-08-13,144.520004,145.880005,144.070007,144.970001,368400,144.970001
2015-08-12,143.119995,145.339996,142.880005,144.779999,439700,144.779999
2015-08-11,143.460007,144.380005,142.630005,144.279999,378600,144.279999
2015-08-10,143.699997,144.339996,143.070007,144.300003,436300,144.300003
2015-08-07,141.619995,143.039993,141.389999,142.949997,405000,142.949997
2015-08-06,143.300003,143.300003,141.020004,141.860001,349700,141.860001
2015-08-05,142.720001,143.539993,142.009995,143.300003,515400,143.300003
2015-08-04,140.470001,142.759995,140.070007,141.630005,557000,141.630005
2015-08-03,141.220001,141.289993,139.850006,140.929993,504600,140.929993
2015-07-31,140.479996,141.449997,139.75,140.970001,937900,140.970001
2015-07-30,139.440002,140.679993,138.559998,140.410004,895700,140.410004
2015-07-29,135.479996,140.539993,135.070007,140.259995,1673900,140.259995
2015-07-28,132.839996,134.869995,132.429993,134.610001,1342600,134.610001
2015-07-27,132.350006,132.850006,131.860001,132.330002,810800,132.330002
2015-07-24,132.119995,134.160004,130.899994,132.919998,1641200,132.919998
2015-07-23,133.119995,134.070007,132.50,132.630005,783500,132.630005
2015-07-22,134.520004,135.240005,133.100006,133.240005,730400,133.240005
2015-07-21,135.130005,135.639999,133.369995,133.419998,463200,133.419998
2015-07-20,136.759995,137.00,134.990005,135.179993,834400,135.179993
2015-07-17,138.919998,139.710007,136.350006,136.419998,877600,136.419998
2015-07-16,139.559998,140.710007,137.949997,138.919998,1294200,138.919998
2015-07-15,135.479996,135.850006,134.449997,134.559998,577200,134.559998
2015-07-14,135.610001,135.690002,134.880005,135.160004,445900,135.160004
2015-07-13,135.580002,136.119995,134.910004,135.520004,229000,135.520004
2015-07-10,135.070007,135.410004,134.059998,134.770004,236000,134.770004
2015-07-09,135.070007,135.25,133.460007,133.850006,407700,133.850006
2015-07-08,135.940002,136.210007,133.619995,133.789993,612400,133.789993
2015-07-07,137.139999,137.360001,135.130005,136.350006,370000,136.350006
2015-07-06,133.529999,137.529999,133.110001,136.929993,698800,136.929993
2015-07-02,135.050003,135.100006,134.300003,134.639999,281500,134.639999
2015-07-01,134.889999,135.00,134.110001,134.850006,315200,134.850006
2015-06-30,134.600006,134.860001,133.190002,133.910004,506500,133.910004
2015-06-29,134.919998,135.300003,133.110001,133.270004,450600,133.270004
2015-06-26,135.770004,136.039993,135.00,135.729996,315000,135.729996
2015-06-25,135.710007,136.100006,134.979996,135.009995,547600,135.009995
2015-06-24,137.25,137.559998,135.690002,135.710007,365500,135.710007
2015-06-23,137.970001,138.029999,136.839996,137.389999,307200,137.389999
2015-06-22,137.509995,138.119995,136.970001,137.520004,193100,137.520004
2015-06-19,137.559998,137.809998,136.410004,137.089996,466800,137.089996
