Date,Open,High,Low,Close,Volume,Adj Close
2015-10-15,60.290001,60.970001,59.790001,60.900002,1749500,58.665613
2015-10-14,60.400002,60.400002,59.610001,59.740002,1665500,57.548173
2015-10-13,60.529999,61.169998,60.439999,60.509998,1282100,58.289919
2015-10-12,60.77,61.040001,60.599998,60.830002,1220300,58.598182
2015-10-09,60.860001,61.310001,60.43,60.759998,1604300,58.530747
2015-10-08,60.169998,61.009998,59.939999,60.810001,1768200,58.578915
2015-10-07,59.84,60.389999,58.82,60.290001,1808700,58.077993
2015-10-06,59.220001,59.639999,59.060001,59.43,1850400,57.249546
2015-10-05,58.799999,59.610001,58.59,59.32,1691900,57.143581
2015-10-02,56.900002,58.48,56.779999,58.470001,2313500,56.324768
2015-10-01,58.139999,58.470001,57.52,57.959999,1961900,55.833478
2015-09-30,58.299999,58.700001,57.810001,58.130001,1968400,55.997243
2015-09-29,57.110001,57.810001,56.880001,57.720001,1583300,55.602286
2015-09-28,57.369999,57.549999,56.82,57.009998,1790700,54.918332
2015-09-25,57.970001,58.380001,57.580002,57.830002,1878000,55.70825
2015-09-24,56.830002,57.630001,56.830002,57.490002,2220100,55.380725
2015-09-23,57.099998,57.50,56.810001,57.419998,1963400,55.313289
2015-09-22,56.880001,57.27,56.610001,57.040001,2000500,54.947234
2015-09-21,57.450001,58.049999,57.299999,57.700001,1560800,55.583019
2015-09-18,57.130001,57.709999,56.919998,57.150002,3581900,55.053199
2015-09-17,58.900002,59.080002,57.939999,58.110001,2205700,55.977976
2015-09-16,58.560001,58.970001,58.360001,58.84,1404900,56.681192
2015-09-15,58.139999,58.759998,57.900002,58.57,1413600,56.421098
2015-09-14,58.110001,58.220001,57.639999,57.799999,1455500,55.679348
2015-09-11,57.459999,58.169998,57.360001,58.139999,2092900,56.006874
2015-09-10,57.66,57.959999,57.060001,57.700001,2464400,55.583019
2015-09-09,58.490002,58.68,56.900002,56.990002,2165100,54.899069
2015-09-08,57.34,57.59,57.119999,57.57,3176100,55.457787
2015-09-04,56.689999,56.950001,56.189999,56.389999,2319600,54.321081
2015-09-03,57.650002,58.09,57.299999,57.549999,2333200,55.438521
2015-09-02,57.380001,57.509998,56.599998,57.450001,2034900,55.342191
2015-09-01,57.209999,57.610001,56.43,56.650002,2924000,54.571544
2015-08-31,58.119999,58.810001,57.919998,58.599998,2450100,56.449996
2015-08-28,58.299999,58.720001,58.02,58.669998,2050000,56.517428
2015-08-27,57.810001,58.77,57.349998,58.630001,2598400,56.478898
2015-08-26,56.57,57.040001,55.630001,56.919998,3141400,54.831634
2015-08-25,57.98,57.98,55.169998,55.23,3103500,53.203641
2015-08-24,55.669998,57.950001,51.41,56.290001,5103400,54.224751
2015-08-21,60.68,61.040001,59.169998,59.200001,3201100,57.027985
2015-08-20,62.490002,62.66,61.220001,61.25,3519300,59.002771
2015-08-19,63.700001,63.959999,62.75,63.049999,4329400,60.736729
2015-08-18,64.349998,64.639999,64.300003,64.580002,1245800,62.210596
2015-08-17,63.970001,64.580002,63.50,64.529999,1867900,62.162428
2015-08-14,64.199997,64.779999,64.139999,64.760002,1743100,62.008299
2015-08-13,64.129997,64.610001,63.959999,64.169998,1184700,61.443365
2015-08-12,63.880001,64.269997,63.110001,64.110001,2195300,61.385917
2015-08-11,64.120003,64.519997,63.84,64.239998,1486300,61.51039
2015-08-10,64.400002,64.989998,64.379997,64.919998,1668800,62.161497
2015-08-07,63.639999,64.07,63.450001,64.040001,1932500,61.318891
2015-08-06,64.099998,64.260002,63.580002,63.68,2126400,60.974187
2015-08-05,64.360001,64.779999,64.07,64.099998,1544900,61.37634
2015-08-04,64.040001,64.50,63.84,63.93,1575800,61.213565
2015-08-03,63.939999,64.029999,63.389999,64.029999,1654900,61.309314
2015-07-31,64.120003,64.300003,63.919998,64.050003,2411400,61.328468
2015-07-30,64.32,64.660004,63.889999,64.040001,2659700,61.318891
2015-07-29,62.189999,64.629997,62.130001,64.540001,4170000,61.797646
2015-07-28,61.810001,62.470001,61.400002,62.330002,2265400,59.681551
2015-07-27,61.48,61.75,61.139999,61.529999,1340200,58.915541
2015-07-24,61.860001,62.439999,61.77,61.919998,2043900,59.288969
2015-07-23,61.889999,62.139999,61.630001,61.860001,1550800,59.231521
2015-07-22,61.810001,62.130001,61.619999,61.880001,1601100,59.250672
2015-07-21,61.669998,62.119999,61.50,61.799999,1830200,59.174069
2015-07-20,61.669998,61.860001,61.060001,61.560001,2247600,58.944269
2015-07-17,62.189999,62.189999,61.189999,61.59,1616400,58.972993
2015-07-16,62.139999,62.43,61.830002,62.220001,1585800,59.576225
2015-07-15,61.610001,61.790001,61.349998,61.790001,2677200,59.164496
2015-07-14,61.369999,61.740002,61.18,61.41,3057200,58.800641
2015-07-13,60.759998,61.669998,60.580002,61.419998,5616300,58.810215
2015-07-10,61.349998,61.790001,61.330002,61.709999,2626100,59.087893
2015-07-09,61.209999,61.389999,60.57,60.66,2347300,58.082509
2015-07-08,61.32,61.450001,60.23,60.459999,1952500,57.891007
2015-07-07,61.560001,61.799999,60.689999,61.77,2004100,59.145345
2015-07-06,61.23,62.029999,61.080002,61.580002,1764400,58.963419
2015-07-02,62.369999,62.50,61.630001,61.959999,1438400,59.32727
2015-07-01,63.049999,63.060001,62.139999,62.43,1994100,59.777301
2015-06-30,61.91,62.509998,61.669998,62.200001,2412300,59.557074
2015-06-29,62.990002,63.220001,61.400002,61.439999,3451800,58.829365
2015-06-26,63.349998,63.830002,63.049999,63.689999,2510800,60.983761
2015-06-25,63.09,63.810001,62.990002,63.34,4083300,60.648634
2015-06-24,62.720001,62.939999,62.439999,62.48,1298000,59.825176
2015-06-23,62.990002,63.009998,62.639999,62.849998,1591000,60.179453
2015-06-22,62.959999,63.099998,62.650002,62.830002,1125200,60.160306
2015-06-19,62.900002,63.029999,62.52,62.560001,2334600,59.901778
