Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,50.990002,51.509998,50.689999,50.950001,10921400,48.58227
2015-10-08,50.66,51.189999,50.139999,51.02,12542000,48.649017
2015-10-07,50.459999,51.119999,49.77,50.950001,14508200,48.58227
2015-10-06,51.389999,51.389999,49.32,49.799999,16493500,47.485711
2015-10-05,51.07,51.32,50.689999,51.23,15881600,48.849257
2015-10-02,48.790001,50.150002,48.349998,50.139999,24287900,47.809911
2015-10-01,49.349998,49.57,48.540001,49.369999,14408600,47.075693
2015-09-30,49.400002,49.540001,48.849998,49.389999,12679100,47.094764
2015-09-29,48.580002,49.299999,48.200001,48.650002,12802900,46.389155
2015-09-28,49.299999,49.369999,48.09,48.419998,20150500,46.169841
2015-09-25,50.919998,51.32,49.130001,49.599998,15322700,47.295004
2015-09-24,50.529999,50.860001,50.220001,50.59,10508300,48.238999
2015-09-23,50.740002,51.439999,50.389999,51.029999,10055500,48.65855
2015-09-22,50.549999,51.00,50.259998,50.740002,12795600,48.38203
2015-09-21,52.439999,52.439999,50.689999,50.98,17243300,48.610875
2015-09-18,53.68,53.869999,51.91,52.130001,28997900,49.707434
2015-09-17,53.849998,54.50,53.02,53.959999,22799900,51.452389
2015-09-16,53.509998,53.970001,53.32,53.869999,8681400,51.366571
2015-09-15,52.779999,53.889999,52.669998,53.549999,11792200,51.061442
2015-09-14,52.119999,52.73,51.990002,52.34,8791400,49.907674
2015-09-11,52.209999,52.450001,51.709999,52.09,12090800,49.669292
2015-09-10,52.02,53.200001,51.860001,52.720001,14065400,49.840927
2015-09-09,53.209999,53.330002,51.810001,51.93,11116700,49.094068
2015-09-08,53.009998,53.02,52.200001,52.689999,14961100,49.812563
2015-09-04,52.099998,52.240002,51.18,51.59,14491300,48.772636
2015-09-03,53.27,53.549999,52.599998,52.650002,12149100,49.77475
2015-09-02,53.169998,53.27,52.349998,52.98,13130800,50.086726
2015-09-01,52.66,53.23,52.200001,52.529999,15747400,49.6613
2015-08-31,55.119999,55.299999,53.619999,53.849998,12917100,50.909214
2015-08-28,54.779999,55.41,54.59,55.369999,12797000,52.346206
2015-08-27,55.279999,55.400002,53.639999,54.950001,16135600,51.949144
2015-08-26,53.400002,54.610001,52.490002,54.419998,22891200,51.448086
2015-08-25,55.389999,55.41,51.00,51.169998,22849800,48.37557
2015-08-24,53.07,54.400002,45.689999,53.990002,24838600,51.041572
2015-08-21,56.59,57.630001,55.759998,55.77,17632500,52.724363
2015-08-20,58.290001,58.549999,56.740002,56.950001,23694400,53.839923
2015-08-19,59.32,60.07,59.189999,59.66,7966500,56.401927
2015-08-18,59.669998,59.950001,59.560001,59.66,6797400,56.401927
2015-08-17,58.799999,59.75,58.580002,59.709999,6113700,56.449196
2015-08-14,59.009998,59.57,58.869999,59.18,9466400,55.948141
2015-08-13,58.549999,59.450001,58.50,58.98,10957200,55.759062
2015-08-12,57.279999,58.279999,57.119999,58.259998,7525300,55.078381
2015-08-11,57.93,58.189999,57.560001,57.759998,7078300,54.605686
2015-08-10,58.259998,58.610001,58.259998,58.41,5052400,55.220191
2015-08-07,58.349998,58.450001,57.669998,57.970001,9712400,54.804221
2015-08-06,59.16,59.25,58.32,58.43,7019700,55.239099
2015-08-05,59.080002,59.279999,58.77,59.099998,5702600,55.872508
2015-08-04,59.439999,59.470001,58.369999,58.700001,6935800,55.494354
2015-08-03,59.299999,59.450001,58.48,59.049999,6807000,55.825239
2015-07-31,59.00,59.330002,58.700001,58.959999,8752500,55.740154
2015-07-30,58.619999,58.82,58.279999,58.52,6989500,55.324184
2015-07-29,57.689999,58.82,57.639999,58.540001,12876000,55.343092
2015-07-28,56.52,57.639999,55.830002,57.52,16387100,54.378795
2015-07-27,57.43,57.450001,56.630001,56.990002,14887000,53.87774
2015-07-24,57.709999,57.880001,57.32,57.41,7847100,54.274801
2015-07-23,58.529999,58.529999,57.939999,58.07,6441600,54.898758
2015-07-22,58.509998,59.029999,58.009998,58.130001,8617800,54.955483
2015-07-21,58.990002,59.02,58.650002,58.669998,6932800,55.46599
2015-07-20,58.959999,59.200001,58.860001,59.00,5697200,55.77797
2015-07-17,58.700001,58.919998,58.59,58.82,6988900,55.6078
2015-07-16,58.509998,58.869999,58.349998,58.82,5324700,55.6078
2015-07-15,58.16,58.560001,58.07,58.220001,5748600,55.040568
2015-07-14,57.900002,58.279999,57.68,58.189999,7235100,55.012204
2015-07-13,58.25,58.549999,57.68,57.869999,9133800,54.70968
2015-07-10,58.07,58.25,57.580002,57.950001,8047400,54.785312
2015-07-09,58.040001,58.169998,57.349998,57.380001,8664200,54.246441
2015-07-08,57.73,57.740002,57.119999,57.349998,9111600,54.218077
2015-07-07,57.75,58.099998,57.18,57.990002,9034300,54.823129
2015-07-06,57.240002,57.84,56.639999,57.549999,8054100,54.407155
2015-07-02,57.939999,58.330002,57.50,57.669998,8518400,54.520601
2015-07-01,56.93,57.869999,56.610001,57.599998,9380100,54.454424
2015-06-30,57.709999,57.709999,56.709999,56.93,11847300,53.821015
2015-06-29,57.93,58.220001,57.25,57.290001,9601200,54.161356
2015-06-26,58.220001,58.529999,57.849998,58.490002,13083700,55.295824
2015-06-25,58.25,58.599998,57.720001,57.900002,9951200,54.738044
2015-06-24,58.919998,59.029999,58.240002,58.240002,7908400,55.059476
2015-06-23,58.880001,59.049999,58.52,59.029999,8371000,55.806331
2015-06-22,58.790001,59.200001,58.43,58.830002,8362500,55.617256
2015-06-19,58.41,58.84,57.950001,58.040001,12613500,54.870398
