Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,1303.650024,1331.180054,1301.920044,1323.72998,709200,1323.72998
2015-12-14,1288.640015,1301.890015,1276.060059,1297.880005,368200,1297.880005
2015-12-11,1290.530029,1299.73999,1282.189941,1285.329956,535100,1285.329956
2015-12-10,1300.00,1307.280029,1286.689941,1306.50,460900,1306.50
2015-12-09,1301.48999,1314.959961,1285.089966,1294.98999,384000,1294.98999
2015-12-08,1287.849976,1309.930054,1281.170044,1303.969971,339000,1303.969971
2015-12-07,1300.310059,1309.790039,1293.079956,1302.420044,409800,1302.420044
2015-12-04,1283.880005,1302.869995,1283.880005,1300.47998,556300,1300.47998
2015-12-03,1284.189941,1295.420044,1271.170044,1280.079956,666400,1280.079956
2015-12-02,1286.73999,1297.199951,1272.119995,1275.439941,426000,1275.439941
2015-12-01,1258.800049,1285.550049,1255.50,1282.50,682100,1282.50
2015-11-30,1246.410034,1266.689941,1244.180054,1248.849976,539300,1248.849976
2015-11-27,1248.810059,1250.560059,1235.619995,1244.98999,278400,1244.98999
2015-11-25,1245.00,1256.00,1242.900024,1245.75,421000,1245.75
2015-11-24,1244.300049,1246.569946,1212.00,1240.180054,1390300,1240.180054
2015-11-23,1285.00,1292.76001,1256.00,1264.319946,486100,1264.319946
2015-11-20,1294.420044,1296.00,1270.00,1281.530029,626600,1281.530029
2015-11-19,1286.829956,1299.780029,1282.119995,1284.650024,555200,1284.650024
2015-11-18,1267.099976,1287.359985,1252.01001,1278.50,804500,1278.50
2015-11-17,1274.01001,1280.00,1250.00,1258.790039,899300,1258.790039
2015-11-16,1278.140015,1279.98999,1230.209961,1266.869995,1708400,1266.869995
2015-11-13,1311.00,1319.300049,1294.640015,1297.75,779900,1297.75
2015-11-12,1321.00,1336.26001,1312.98999,1314.01001,561200,1314.01001
2015-11-11,1325.550049,1335.00,1315.51001,1329.579956,597600,1329.579956
2015-11-10,1302.060059,1327.839966,1302.060059,1323.540039,927800,1323.540039
2015-11-09,1362.300049,1386.97998,1303.439941,1311.150024,2652400,1311.150024
2015-11-06,1451.400024,1459.640015,1430.00,1449.900024,1177200,1449.900024
2015-11-05,1475.00,1476.52002,1451.670044,1462.640015,548500,1462.640015
2015-11-04,1465.949951,1473.98999,1462.75,1469.560059,507400,1469.560059
2015-11-03,1461.550049,1473.040039,1455.189941,1464.900024,414700,1464.900024
2015-11-02,1462.030029,1470.00,1454.569946,1467.189941,498600,1467.189941
2015-10-30,1445.00,1466.079956,1436.050049,1454.23999,994300,1454.23999
2015-10-29,1410.00,1428.420044,1402.680054,1425.650024,525700,1425.650024
2015-10-28,1412.00,1412.00,1393.969971,1404.52002,533200,1404.52002
2015-10-27,1412.359985,1424.650024,1396.369995,1403.280029,479000,1403.280029
2015-10-26,1375.00,1429.859985,1374.48999,1416.319946,863800,1416.319946
2015-10-23,1374.00,1374.00,1357.300049,1366.48999,629600,1366.48999
2015-10-22,1371.550049,1382.00,1351.199951,1354.469971,679600,1354.469971
2015-10-21,1378.689941,1393.630005,1360.180054,1364.290039,481600,1364.290039
2015-10-20,1371.829956,1382.50,1364.079956,1372.51001,471100,1372.51001
2015-10-19,1334.189941,1379.579956,1329.599976,1376.130005,700400,1376.130005
2015-10-16,1334.410034,1342.130005,1326.01001,1336.569946,529000,1336.569946
2015-10-15,1319.609985,1333.23999,1304.969971,1327.290039,601900,1327.290039
2015-10-14,1349.969971,1350.00,1308.540039,1311.079956,896100,1311.079956
2015-10-13,1340.00,1352.949951,1333.839966,1345.00,502700,1345.00
2015-10-12,1318.00,1352.50,1315.589966,1347.189941,600900,1347.189941
2015-10-09,1305.98999,1316.599976,1296.800049,1313.290039,419300,1313.290039
2015-10-08,1287.099976,1311.430054,1281.140015,1304.319946,432400,1304.319946
2015-10-07,1285.060059,1294.180054,1271.01001,1291.579956,484900,1291.579956
2015-10-06,1271.01001,1286.209961,1264.52002,1275.449951,401700,1275.449951
2015-10-05,1274.099976,1287.540039,1271.540039,1274.859985,572800,1274.859985
2015-10-02,1229.430054,1266.689941,1223.22998,1265.680054,757000,1265.680054
2015-10-01,1235.530029,1251.280029,1220.00,1247.079956,817500,1247.079956
2015-09-30,1217.47998,1238.599976,1211.880005,1236.859985,794500,1236.859985
2015-09-29,1198.01001,1214.219971,1185.01001,1200.319946,586800,1200.319946
2015-09-28,1242.339966,1244.930054,1192.219971,1199.140015,1147800,1199.140015
2015-09-25,1298.48999,1298.48999,1252.00,1252.76001,744900,1252.76001
2015-09-24,1266.75,1284.119995,1256.160034,1281.130005,596500,1281.130005
2015-09-23,1288.26001,1297.00,1270.01001,1275.98999,394700,1275.98999
2015-09-22,1289.02002,1298.00,1278.329956,1288.949951,515100,1288.949951
2015-09-21,1300.47998,1311.689941,1295.01001,1307.47998,581300,1307.47998
2015-09-18,1301.72998,1312.48999,1292.699951,1294.469971,1213400,1294.469971
2015-09-17,1321.949951,1338.51001,1313.829956,1318.00,482000,1318.00
2015-09-16,1321.900024,1327.959961,1312.76001,1320.47998,478400,1320.47998
2015-09-15,1292.839966,1321.319946,1280.890015,1318.800049,721000,1318.800049
2015-09-14,1291.98999,1292.420044,1276.130005,1286.829956,411600,1286.829956
2015-09-11,1280.099976,1290.640015,1278.719971,1290.410034,401600,1290.410034
2015-09-10,1277.410034,1293.869995,1275.00,1287.73999,405900,1287.73999
2015-09-09,1293.00,1304.02002,1274.50,1276.719971,497800,1276.719971
2015-09-08,1268.00,1281.130005,1266.420044,1280.400024,659900,1280.400024
2015-09-04,1224.170044,1248.400024,1222.150024,1245.25,607900,1245.25
2015-09-03,1249.140015,1260.25,1236.300049,1240.369995,544500,1240.369995
2015-09-02,1232.439941,1242.920044,1216.050049,1242.869995,413100,1242.869995
2015-09-01,1217.150024,1245.00,1207.089966,1215.359985,579300,1215.359985
2015-08-31,1255.170044,1264.97998,1243.469971,1248.640015,466700,1248.640015
2015-08-28,1244.22998,1264.52002,1240.069946,1259.390015,502800,1259.390015
2015-08-27,1234.98999,1253.969971,1233.420044,1252.01001,788000,1252.01001
2015-08-26,1210.670044,1229.050049,1179.00,1223.459961,838400,1223.459961
2015-08-25,1202.109985,1224.959961,1178.790039,1178.810059,959600,1178.810059
2015-08-24,1162.00,1222.52002,1151.01001,1174.119995,1153600,1174.119995
2015-08-21,1245.959961,1248.23999,1200.589966,1216.920044,1211800,1216.920044
2015-08-20,1288.199951,1289.51001,1255.369995,1257.540039,696200,1257.540039
2015-08-19,1284.319946,1305.00,1281.00,1291.349976,471200,1291.349976
2015-08-18,1291.079956,1309.050049,1288.130005,1291.829956,426200,1291.829956
2015-08-17,1277.099976,1308.00,1276.189941,1306.560059,518700,1306.560059
2015-08-14,1283.280029,1287.98999,1276.00,1283.800049,610000,1283.800049
2015-08-13,1301.689941,1307.00,1284.530029,1285.469971,411100,1285.469971
2015-08-12,1298.609985,1299.48999,1282.52002,1294.709961,770000,1294.709961
2015-08-11,1315.900024,1322.599976,1299.23999,1307.869995,513400,1307.869995
2015-08-10,1327.00,1334.00,1318.02002,1323.75,548900,1323.75
2015-08-07,1350.550049,1350.949951,1314.609985,1317.349976,705900,1317.349976
2015-08-06,1351.50,1372.329956,1340.099976,1351.800049,868800,1351.800049
2015-08-05,1382.609985,1395.00,1325.099976,1351.209961,2106200,1351.209961
2015-08-04,1242.310059,1286.540039,1240.530029,1283.98999,1242400,1283.98999
2015-08-03,1249.890015,1249.930054,1225.00,1240.47998,588400,1240.47998
2015-07-31,1245.089966,1254.880005,1241.630005,1243.569946,797200,1243.569946
2015-07-30,1222.00,1227.099976,1207.640015,1222.060059,523900,1222.060059
2015-07-29,1203.02002,1221.810059,1194.949951,1219.430054,470700,1219.430054
2015-07-28,1196.300049,1214.630005,1187.48999,1208.089966,452200,1208.089966
2015-07-27,1193.800049,1205.50,1183.150024,1186.079956,562400,1186.079956
2015-07-24,1215.02002,1218.77002,1189.50,1197.420044,988600,1197.420044
2015-07-23,1234.050049,1238.459961,1222.300049,1228.959961,428700,1228.959961
2015-07-22,1239.52002,1242.00,1228.02002,1233.969971,360500,1233.969971
2015-07-21,1249.00,1250.780029,1229.569946,1235.199951,563500,1235.199951
2015-07-20,1220.430054,1264.98999,1220.060059,1247.910034,886800,1247.910034
2015-07-17,1194.97998,1220.00,1193.00,1216.00,938300,1216.00
2015-07-16,1178.849976,1184.780029,1174.00,1182.98999,275500,1182.98999
2015-07-15,1169.00,1177.939941,1164.949951,1167.540039,324600,1167.540039
2015-07-14,1172.50,1183.420044,1169.069946,1171.430054,323000,1171.430054
2015-07-13,1151.140015,1173.640015,1148.709961,1171.390015,627500,1171.390015
2015-07-10,1141.26001,1144.00,1133.00,1143.189941,533300,1143.189941
2015-07-09,1133.439941,1141.339966,1125.00,1126.069946,638000,1126.069946
2015-07-08,1133.609985,1141.800049,1115.77002,1116.939941,806000,1116.939941
2015-07-07,1145.619995,1146.280029,1119.26001,1145.01001,563800,1145.01001
2015-07-06,1134.150024,1153.390015,1134.00,1141.430054,464000,1141.430054
2015-07-02,1152.859985,1154.589966,1142.00,1143.069946,396700,1143.069946
2015-07-01,1160.00,1174.670044,1146.829956,1150.349976,621100,1150.349976
2015-06-30,1120.900024,1152.160034,1119.319946,1151.369995,1082600,1151.369995
2015-06-29,1128.00,1136.00,1103.449951,1107.72998,707600,1107.72998
2015-06-26,1151.969971,1153.00,1135.73999,1140.900024,611700,1140.900024
2015-06-25,1158.00,1160.900024,1148.650024,1149.189941,334700,1149.189941
2015-06-24,1157.77002,1158.77002,1147.280029,1154.920044,384200,1154.920044
2015-06-23,1154.180054,1159.569946,1146.02002,1155.949951,428700,1155.949951
2015-06-22,1161.27002,1162.079956,1143.829956,1150.390015,686700,1150.390015
2015-06-19,1170.430054,1173.469971,1158.01001,1158.459961,566800,1158.459961
