Date,Open,High,Low,Close,Volume,Adj Close
2015-10-15,547.75,563.00,547.00,562.440002,4937000,562.440002
2015-10-14,551.340027,552.25,539.679993,544.830017,3582100,544.830017
2015-10-13,546.26001,553.200012,543.099976,548.900024,2938000,548.900024
2015-10-12,539.960022,550.820007,539.799988,550.190002,2776100,550.190002
2015-10-09,534.47998,541.789978,530.27002,539.799988,3537400,539.799988
2015-10-08,536.710022,539.390015,519.890015,533.159973,4676400,533.159973
2015-10-07,541.789978,542.00,529.00,541.940002,3812100,541.940002
2015-10-06,545.50,551.50,533.330017,537.47998,4502800,537.47998
2015-10-05,536.98999,545.909973,536.00,543.679993,3391400,543.679993
2015-10-02,512.98999,532.599976,508.100006,532.539978,4597800,532.539978
2015-10-01,511.00,520.799988,506.00,520.719971,3768500,520.719971
2015-09-30,505.440002,512.799988,501.670013,511.890015,4004700,511.890015
2015-09-29,506.00,511.480011,490.50,496.070007,4457500,496.070007
2015-09-28,520.02002,520.280029,494.329987,504.059998,5434500,504.059998
2015-09-25,542.570007,542.799988,521.400024,524.25,4031000,524.25
2015-09-24,530.549988,534.559998,522.869995,533.75,3501000,533.75
2015-09-23,538.299988,541.210022,534.00,536.070007,2237600,536.070007
2015-09-22,539.710022,543.549988,532.659973,538.400024,3841700,538.400024
2015-09-21,544.330017,549.780029,539.590027,548.390015,3283300,548.390015
2015-09-18,534.619995,546.23999,531.349976,540.26001,6160100,540.26001
2015-09-17,526.97998,546.969971,526.570007,538.869995,4169500,538.869995
2015-09-16,521.97998,528.299988,518.52002,527.390015,2252800,527.390015
2015-09-15,523.25,527.919983,517.200012,522.369995,2865900,522.369995
2015-09-14,529.440002,532.450012,518.580017,521.380005,3130200,521.380005
2015-09-11,521.070007,529.440002,520.609985,529.440002,3227900,529.440002
2015-09-10,515.150024,526.130005,514.780029,522.23999,2576000,522.23999
2015-09-09,524.00,529.950012,515.059998,516.890015,4370700,516.890015
2015-09-08,508.690002,518.349976,508.51001,517.539978,3810700,517.539978
2015-09-04,497.649994,502.850006,495.640015,499.00,2692500,499.00
2015-09-03,514.50,515.840027,502.570007,504.720001,3149700,504.720001
2015-09-02,505.089996,510.859985,497.720001,510.549988,3707100,510.549988
2015-09-01,499.140015,510.00,493.429993,496.540009,3864500,496.540009
2015-08-31,516.440002,519.409973,509.070007,512.890015,3002300,512.890015
2015-08-28,517.50,521.50,513.039978,518.01001,2746700,518.01001
2015-08-27,513.710022,522.690002,507.26001,518.369995,6114500,518.369995
2015-08-26,484.019989,503.720001,478.76001,500.769989,6358600,500.769989
2015-08-25,487.48999,489.440002,466.25,466.369995,5679300,466.369995
2015-08-24,463.579987,476.579987,451.00,463.369995,10097600,463.369995
2015-08-21,507.359985,512.330017,494.470001,494.470001,6706500,494.470001
2015-08-20,530.390015,533.25,515.77002,515.780029,4408000,515.780029
2015-08-19,533.73999,537.25,529.00,532.919983,2313500,532.919983
2015-08-18,535.039978,539.48999,533.00,535.02002,2071300,535.02002
2015-08-17,531.289978,538.73999,527.119995,535.219971,2581700,535.219971
2015-08-14,528.25,534.109985,528.25,531.52002,1994800,531.52002
2015-08-13,527.369995,534.659973,525.48999,529.659973,2895200,529.659973
2015-08-12,523.75,527.50,513.059998,525.909973,3962300,525.909973
2015-08-11,523.650024,528.97998,522.00,527.460022,2676600,527.460022
2015-08-10,528.52002,532.280029,523.00,524.00,2615900,524.00
2015-08-07,529.159973,529.460022,518.210022,522.619995,3969200,522.619995
2015-08-06,539.299988,542.73999,527.52002,529.460022,3820500,529.460022
2015-08-05,538.799988,539.140015,534.119995,537.01001,2889400,537.01001
2015-08-04,529.690002,536.950012,529.159973,531.900024,2934600,531.900024
2015-08-03,537.450012,540.440002,529.359985,535.030029,3014200,535.030029
2015-07-31,539.090027,542.840027,534.52002,536.150024,3025600,536.150024
2015-07-30,527.650024,539.200012,524.289978,536.76001,3743100,536.76001
2015-07-29,530.919983,532.969971,525.02002,529.00,3752600,529.00
2015-07-28,536.00,536.390015,523.119995,526.030029,5273100,526.030029
2015-07-27,527.75,544.950012,526.599976,531.409973,7491000,531.409973
2015-07-24,578.98999,580.570007,529.349976,529.419983,21909400,529.419983
2015-07-23,491.660004,491.660004,475.700012,482.179993,9374400,482.179993
2015-07-22,485.98999,492.50,484.899994,488.269989,3114900,488.269989
2015-07-21,487.899994,488.880005,482.549988,488.00,3181800,488.00
2015-07-20,492.570007,493.200012,485.399994,488.100006,4752500,488.100006
2015-07-17,477.700012,485.420013,477.25,483.01001,4932200,483.01001
2015-07-16,465.50,475.880005,464.799988,475.480011,4095600,475.480011
2015-07-15,463.040009,464.700012,460.200012,461.190002,2987400,461.190002
2015-07-14,462.320007,469.600006,458.160004,465.570007,4736200,465.570007
2015-07-13,448.290009,457.869995,447.540009,455.570007,3956800,455.570007
2015-07-10,440.48999,444.720001,439.00,443.51001,2401000,443.51001
2015-07-09,434.899994,438.720001,434.149994,434.390015,2262900,434.390015
2015-07-08,434.350006,435.98999,428.829987,429.700012,2383100,429.700012
2015-07-07,435.679993,437.730011,425.570007,436.720001,3454200,436.720001
2015-07-06,435.230011,439.730011,433.519989,436.040009,1903200,436.040009
2015-07-02,437.00,438.200012,433.480011,437.709991,1343400,437.709991
2015-07-01,439.350006,440.00,435.579987,437.390015,1987100,437.390015
2015-06-30,434.200012,435.570007,430.459991,434.089996,2596900,434.089996
2015-06-29,434.980011,437.00,429.00,429.859985,2753200,429.859985
2015-06-26,441.76001,443.48999,435.059998,438.100006,2624500,438.100006
2015-06-25,438.070007,443.470001,436.390015,440.100006,2237500,440.100006
2015-06-24,444.970001,446.470001,440.230011,440.839996,2620800,440.839996
2015-06-23,435.589996,447.040009,433.690002,445.98999,3245000,445.98999
2015-06-22,437.00,439.23999,434.179993,436.290009,1823600,436.290009
2015-06-19,440.26001,444.98999,433.23999,434.920013,4495100,434.920013
